Output #  1, Total Volume =  660.00, Total Energy per Vol, EPV =     -0.22136752
Output #  2, Total Volume =  679.00, Total Energy per Vol, EPV =     -0.21865384
Output #  3, Total Volume =  723.00, Total Energy per Vol, EPV =     -0.20243261
Output #  4, Total Volume =  746.00, Total Energy per Vol, EPV =     -0.19649027
Output #  5, Total Volume =  744.00, Total Energy per Vol, EPV =     -0.19562603
Output #  6, Total Volume =  760.00, Total Energy per Vol, EPV =     -0.19367533
Output #  7, Total Volume =  749.00, Total Energy per Vol, EPV =     -0.19222058
Output #  8, Total Volume =  818.00, Total Energy per Vol, EPV =     -0.13806364
Output #  9, Total Volume =  825.00, Total Energy per Vol, EPV =     -0.13718572
Output # 10, Total Volume =  848.00, Total Energy per Vol, EPV =     -0.13675915
