Time_ns,Peptide_1,Peptide_2,Peptide_3,Peptide_4,Peptide_5,Peptide_6,Peptide_7,Peptide_8,Peptide_9,Peptide_10,Peptide_11,Peptide_12
0.0,4.734891190438901,4.783944702148439,4.736084312582914,4.700151424767835,4.711987057092056,4.634859135465803,4.64761972103479,4.7058817507186035,4.68935637851931,4.647633033608493,4.649138218141953,4.677747249963147
0.2,4.4374628837153605,4.558903497659935,4.546381599858124,4.587037612627137,4.446417460891437,4.59929443359375,4.476021244840803,4.621347017108269,4.766546999373526,4.52804779628538,4.44060838807304,5.268446183114682
0.4,4.543157509857753,4.683867498433816,4.658106015763192,4.5643240471606,4.5405633141859525,4.86450336960127,4.57297776708063,4.798058131955706,4.706224129155,4.603351774395637,4.483655159428434,5.117355029987841
0.6,4.475954756826724,4.573509227824662,4.714687632434774,4.380765559358416,4.465712861834831,4.657174774745727,4.660459612000665,4.996968418337264,4.557110849056606,4.79769702263598,4.334238759166787,5.16531210269568
0.8,4.2611371022350415,4.513129543088516,4.877684694686026,4.048204000221107,4.3508495575526975,4.802014373203493,4.801961082602448,4.941853701033681,4.439345720399102,4.787957988235187,4.398900163758475,5.168471069335938
1.0,4.062495865731869,4.030796330290023,4.379254864386791,3.6663947857550845,4.351154474222433,4.902013382821714,4.855586922123745,4.775637736770342,4.4375992051610424,4.762032597379864,4.0510938536446055,4.970038670953716
1.2,4.255507086987766,4.465134737986439,4.349225619334096,3.943079304245284,4.575454366432048,5.109530962098319,5.022676667987177,4.701217317401241,4.283176931705114,5.102455956800931,4.012834334463445,5.077846771816038
1.4,4.036684455151827,4.318698862903522,4.241691992417822,4.132849472333801,4.778228224268501,4.815921193248821,4.9516644056788035,4.840393060648216,4.058841535460273,5.100953956460055,4.3044218473614375,4.631731198868662
1.6,4.545517981187352,4.3970931546193235,4.585650790232531,4.291240510760613,4.891293795603627,5.066474263892982,5.51812897304319,5.051893569658386,4.384477372079523,4.983122385852742,4.378659380067067,4.638006326927329
1.8,4.680850334887234,4.532173479188161,4.617426798118734,4.241115141094854,5.031128770360409,5.559152567161702,5.495933981841466,4.748406579359523,4.2720584567088,4.990086819630749,4.098989252054464,4.646402806695901
2.0,4.58364433432525,4.711303670631263,4.446802863354954,3.978553973503832,4.877945516334389,5.472338671414356,5.2773447806880185,4.601599449301666,3.8408800233085216,4.8757854476065,3.874524553406914,4.35628060394863
2.2,4.679471550707547,4.755407208136795,4.526493161759287,4.116672190540243,4.702497564351784,5.375840200748083,5.283735305498233,4.695100598605173,3.792675332123377,4.6738862120430404,3.860716443331736,4.450369729096035
2.4,4.8630300097195605,5.010737886248895,4.4579187011718755,4.175607639528669,5.00720848227447,5.4986089396926605,5.20772049238097,4.994652485397625,4.170271640993514,4.690037358122053,3.80081017836085,4.940295179834907
2.6,4.85163042752248,5.225012011258105,4.432443196998452,3.9160068785469484,5.034616704976784,5.446663662892465,5.309555710126769,5.083285942797392,3.8505598248175836,4.2789474660045705,3.816885220509654,4.901316931382663
2.8,4.945453520001108,5.366004270157726,4.30911535299049,3.8059003376510905,5.149099875396152,5.562877295152196,5.069151139169369,5.095939952922317,4.034629723890772,4.489372397368809,3.5231960656507955,4.938286996517542
3.0,4.947868445054539,5.802771502800706,4.491032288749263,3.8176327802550105,4.817003219892392,5.771750701328493,5.078573470205633,4.7808911190392855,4.077196862562648,4.607868542941112,3.460266948196125,4.977259786353919
3.2,5.047989979869914,6.073100182875148,4.478134938366008,3.813936848190597,4.795409257996759,5.8647655674196635,4.938438818589699,4.823908144393055,4.428498327867043,5.035728253058668,3.6572297294184857,5.335648941903745
3.4,4.868099687684257,5.980498150519605,4.4677721419424365,3.7557248846090054,4.9201560715009585,5.436744879956514,4.7648612083579,4.941755854768573,4.291938960237321,4.919912529711453,3.798657681447157,5.10338860853663
3.6,4.869576249032649,6.298893772341172,4.626273463986953,3.9131352435417863,5.142754055958873,5.470185299279555,4.811262005500074,5.041013431189198,4.235579874290609,4.885477887999338,3.607380728091835,5.146189293051664
3.8,4.48370514491819,6.039085140588149,4.363228679153156,3.797213606924384,5.223340534714033,5.123528879993369,4.753100349858123,5.174961806963076,3.9507811348393282,4.42123011750995,3.5380307985701656,4.696545104980469
4.0,4.74339973305756,6.575179259102301,4.642195705197894,4.056179418024028,5.373407972803657,5.278593329663549,4.375623508669294,5.1445536775409035,4.453647391841097,4.773129710071492,3.5978285764298352,5.024596799454601
