Time_ns,Peptide_1,Peptide_2,Peptide_3,Peptide_4,Peptide_5,Peptide_6,Peptide_7,Peptide_8,Peptide_9,Peptide_10,Peptide_11,Peptide_12
0.0,7.806477223911788,7.8555307356213255,7.807670346055801,7.771737458240722,7.783573090564943,7.706445168938689,7.719205754507676,7.77746778419149,7.760942411992197,7.719219067081379,7.72072425161484,7.749333283436034
0.2,7.533429926924519,7.654870540869094,7.642348643067283,7.683004655836296,7.542384504100596,7.695261476802909,7.571988288049962,7.7173140603174275,7.862514042582685,7.624014839494539,7.536575431282198,8.36441322632384
0.4,7.570219481040795,7.7109294696168575,7.685167986946233,7.591386018343641,7.567625285368994,7.891565340784311,7.600039738263671,7.825120103138747,7.7332861003380415,7.630413745578679,7.510717130611475,8.144417001170883
0.6,7.479435037647466,7.576989508645404,7.718167913255517,7.384245840179158,7.469193142655573,7.660655055566469,7.663939892821407,8.000448699158007,7.5605911298773485,7.801177303456722,7.33771903998753,8.168792383516422
0.8,7.253288765767945,7.505281206621419,7.8698363582189295,7.04035566375401,7.343001221085601,7.794166036736396,7.794112746135351,7.934005364566584,7.431497383932005,7.78010965176809,7.391051827291378,8.160622732868841
1.0,7.229868282602833,7.198168747160988,7.546627281257756,6.833767202626049,7.518526891093398,8.069385799692679,8.02295933899471,7.943010153641307,7.604971622032007,7.929405014250829,7.21846627051557,8.137411087824681
1.2,7.300620923294414,7.510248574293087,7.394339455640743,6.988193140551932,7.620568202738696,8.154644798404966,8.067790504293825,7.746331153707889,7.328290768011762,8.147569793107579,7.057948170770093,8.122960608122685
1.4,7.174976581852897,7.456990989604593,7.379984119118893,7.271141599034872,7.916520350969572,7.954213319949892,8.089956532379874,7.978685187349287,7.1971336621613435,8.239246083161126,7.442713974062508,7.770023325569733
1.6,7.5112183439892135,7.362793517421185,7.551351153034393,7.256940873562474,7.856994158405488,8.032174626694843,8.483829335845051,8.017593932460247,7.350177734881385,7.948822748654603,7.344359742868928,7.60370668972919
1.8,7.72182791647054,7.573151060771467,7.65840437970204,7.2820927226781595,8.072106351943715,8.600130148745007,8.536911563424772,7.789384160942829,7.313036038292106,8.031064401214055,7.13996683363777,7.687380388279207
2.0,7.645314272378801,7.772973608684815,7.508472801408505,7.0402239115573835,7.9396154543879405,8.534008609467907,8.33901471874157,7.663269387355218,6.902549961362073,7.937455385660051,6.936194491460466,7.417950542002181
2.2,7.801438345243438,7.877374002672687,7.648459956295179,7.238638985076134,7.824464358887676,8.497806995283975,8.405702100034125,7.817067393141064,6.914642126659269,7.795853006578932,6.982683237867628,7.572336523631927
2.4,7.9107637962867905,8.058471672816125,7.5056524877391055,7.2233414260958995,8.0549422688417,8.54634272625989,8.2554542789482,8.042386271964855,7.218005427560744,7.737771144689283,6.84854396492808,7.988028966402137
2.6,7.810995385125148,8.184376968860773,7.3918081546011205,6.8753718361496166,7.993981662579452,8.406028620495134,8.268920667729438,8.04265090040006,6.809924782420252,7.238312423607239,6.776250178112322,7.860681888985331
2.8,7.888933608085347,8.309484358241965,7.25259544107473,6.74938042573533,8.092579963480391,8.506357383236436,8.012631227253609,8.039420041006556,6.978109811975012,7.432852485453049,6.466676153735035,7.8817670846017815
3.0,7.968111240047559,8.823014297793726,7.511275083742284,6.837875575248031,7.837246014885412,8.791993496321513,8.098816265198653,7.801133914032306,7.097439657555668,7.628111337934133,6.480509743189145,7.997502581346939
3.2,7.990899586710871,9.016009789716104,7.421044545206964,6.756846455031553,7.738318864837716,8.80767517426062,7.881348425430655,7.7668177512340115,7.3714079347079995,7.978637859899624,6.600139336259442,8.278558548744702
3.4,7.927612392713813,9.040010855549161,7.527284846971993,6.815237589638562,7.979668776530515,8.49625758498607,7.824373913387456,8.00126855979813,7.351451665266877,7.97942523474101,6.858170386476713,8.162901313566186
3.6,7.864684122285922,9.294001645594445,7.621381337240226,6.9082431167950595,8.137861929212146,8.465293172532828,7.8063698787533475,8.03612130444247,7.230687747543882,7.880585761252611,6.602488601345108,8.141297166304938
3.8,7.610616461779081,9.16599645744904,7.490139996014047,6.924124923785275,8.350251851574924,8.25044019685426,7.880011666719014,8.301873123823967,7.077692451700219,7.548141434370841,6.664942115431057,7.82345642184136
4.0,7.845973774180962,9.677753300225703,7.744769746321296,7.15875345914743,8.475982013927059,8.381167370786951,7.4781975497926965,8.247127718664306,7.556221432964499,7.875703751194894,6.700402617553237,8.127170840578003
4.2,7.847519923916806,9.51867082240037,7.615847238185676,7.161232041813697,8.316872173926019,8.35548285830286,7.217948402229748,8.135925622297187,7.542299345165333,7.851828637433908,6.833960198137401,8.2680938847069
4.4,7.6892781309550955,9.374614941372993,7.584175845246076,6.956716249367904,8.170585717049217,8.215135099097047,7.270225431128296,8.015397354495779,7.488430767213202,7.503424905534992,6.809384925204434,8.38106144578595
4.6,7.744313132082523,9.071772635832152,7.387588520404309,7.116693572272675,8.069834988426495,8.007951339860012,7.073225652581121,7.940163461211723,7.601982406754546,7.8412097707728226,6.424536889268547,8.543114292211131
4.8,7.7729067929878095,8.848945818636397,7.071526120173102,7.105841432396714,7.964209859025546,8.178549832907107,7.2906731423484405,7.654610572100429,7.377640052080901,7.789106513838343,6.488455959685188,8.621318934607798
5.0,7.887371001927217,8.876838107432818,7.2459495392024245,7.239206732138008,7.947392387264038,8.344161617944685,7.346605408020597,7.554008195139186,7.06694984207499,7.815848618147367,6.6412437286555495,8.370378664718341
5.2,8.211506598707828,8.548592941573393,7.0982732843376155,7.507099031269735,7.859877391888471,8.297066106833562,7.169604610804303,7.49075520987012,7.384989017128007,8.04310146461474,6.766270692070886,8.663799464964828
5.4,8.072305599596806,8.322698136263966,7.091171865811429,7.4508471818123105,7.585264445779,8.243364196801625,7.1852700310716,7.451894481755193,7.339765477618624,8.222375916703232,6.6633884841873865,8.883559515059662
5.6,8.226243538835828,8.240871230140737,7.033460669676774,7.668748145262715,7.473241795303252,8.367277036772148,7.593624497249007,7.368983913706845,7.629120966422796,8.202391961364942,6.894265585194908,9.186165903268684
5.8,8.254123207823838,8.073787543254628,7.235958143425989,7.364833933428201,7.534249366340198,7.9810404430003565,7.4527909715878415,6.993015097288019,7.61049127630298,8.045781515745052,6.856239670963209,9.261663226157417
6.0,8.379481864551158,8.016465253775804,7.325389250035387,7.453022283643877,7.370192141028896,8.160170243227087,6.86777515459943,6.9394445927996085,7.839181571582406,8.125735463322163,6.984118417469789,9.558619322632671
