Time_ns,Peptide_1
0.0,6.660750348754675e-08
0.2,0.32732422953229046
0.4,0.5551628039037362
0.6,0.3990499902898329
0.8,0.4782248424975834
1.0,0.5566849086577706
1.2,0.5909432464369722
1.4,0.520087407589655
1.6,0.5833385563935327
1.8,0.617162882503752
2.0,0.46067688116787353
2.2,0.4969303360896382
2.4,0.46407580879952615
2.6,0.4204467396072076
2.8,0.38202268020620433
3.0,0.3771948477544577
3.2,0.4679345516196548
3.4,0.4346442862940953
3.6,0.4891322662858947
3.8,0.5747763714954512
4.0,0.6123561041141837
4.2,0.6296257814495074
4.4,0.6109200418135947
4.6,0.686535463047077
4.8,0.6992671163342143
5.0,0.7093017122395434
5.2,0.7463222892766445
5.4,0.6794973587344391
5.6,0.6251679394047434
5.8,0.6506775240471878
6.0,0.5622585531547248
6.2,0.6104571430270304
6.4,0.6250504831873476
6.6,0.5859840812925883
6.8,0.7380783554816713
7.0,0.8244589292664182
7.2,0.9796462726763432
7.4,1.0324076548201262
7.6,0.973851602704879
7.8,1.0246081528080646
8.0,1.0085376345082884
8.2,0.8540771922000202
8.4,0.9055656904090803
8.6,0.9381691634586776
8.8,1.0199026172932277
9.0,0.988142451987428
9.2,0.9478528273294666
9.4,1.0720392391661298
9.6,0.942534124155489
9.8,0.9914640376877853
10.0,0.8979988106619887
10.2,0.9454301014802449
10.4,0.9142856099014132
10.6,0.8867601664556878
10.8,0.8921375550886186
11.0,0.8436476729671902
11.2,0.909770098504126
11.4,0.8508450018692152
11.6,0.8268649431316165
11.8,0.8631967779419781
12.0,0.8321120853955069
12.2,0.9221849274957311
12.4,0.8640659905297087
12.6,0.7608341827506373
12.8,0.7364192997054367
13.0,0.9141276492413299
13.2,1.0120176997137247
13.4,0.9338337001037751
13.6,0.895927814382779
13.8,1.0030643585863142
14.0,1.033100010524808
14.2,1.0220288311700965
14.4,0.994700406234475
14.6,0.9181550080254353
14.8,0.9763604348866739
15.0,1.0233719263982466
15.2,0.9227205474393205
15.4,0.8735653562212098
15.6,0.8370305007600246
15.8,0.7692625676597068
16.0,0.7468729411604415
16.2,0.7851435137546476
16.4,0.769831725220515
16.6,0.7562536493521581
16.8,0.8269437031361969
17.0,0.7931603059815163
17.2,0.8164000427067333
17.4,0.8396155092157043
17.6,0.9111337923268209
17.8,0.842434257646369
18.0,0.8513019831915759
18.2,0.7857290501971881
18.4,0.7445810593136523
18.6,0.7753709448246106
18.8,0.9152547211127369
19.0,0.8358389728573107
19.2,0.8965478472484435
19.4,0.9260359855736121
19.6,0.9104746750953497
19.8,0.920893760030751
20.0,1.0048073730348923
20.2,1.0137796391852327
20.4,1.0395583992476587
20.6,1.066980240965384
20.8,1.082542175896301
21.0,1.0307764856037993
21.2,1.143682309580559
21.4,1.2272947471912896
21.6,1.1971509451209887
21.8,1.2384094046489655
22.0,1.2350618129180477
22.2,1.2648883252539336
22.4,1.2597906340660867
22.6,1.2397170153295196
22.8,1.2386506692728176
23.0,1.2406672485932069
23.2,1.106131549985552
23.4,0.9875174570139287
23.6,0.9102681904682356
23.8,0.8570896898681681
24.0,0.7375600660675062
24.2,0.7617563395190071
24.4,0.7103621515299972
24.6,0.7370884620924608
24.8,0.7146828522454751
25.0,0.8386005688395425
25.2,0.8899458107335525
25.4,1.0190684178166776
25.6,1.0378942911771771
25.8,0.9844752258776767
26.0,1.0410422154185122
26.2,1.044215621253858
26.4,1.0234896436408012
26.6,0.872783832152194
26.8,0.8864849936484056
27.0,1.0194953326010485
27.2,1.147015333910557
27.4,1.0698360797013058
27.6,1.1095610881403397
27.8,1.0052212666482772
28.0,1.0082338577380288
28.2,1.1139826467851077
28.4,0.9395143715413166
28.6,0.985792147208177
28.8,0.9212362612991614
29.0,0.801490458312232
29.2,0.9638433580162836
29.4,0.9339587506953084
29.6,0.859791186849739
29.8,0.8385491436758474
30.0,0.9468230397827672
30.2,0.8459443146585709
30.4,0.7802680197202144
30.6,0.8100730776216507
30.8,0.8754114651872296
31.0,0.7890926219223419
31.2,0.8078081407388866
31.4,0.7509152415837643
31.6,0.7430527210963088
31.8,0.7067968661822989
32.0,0.7796142159317115
32.2,0.7736378266128685
32.4,0.8184234684680955
32.6,0.7252231509778627
32.8,0.6017533826727715
33.0,0.5941744233642962
33.2,0.5467998597539263
33.4,0.5177223509478343
33.6,0.5843686887773959
33.8,0.585963966801641
34.0,0.6494155233025111
34.2,0.6381682138600258
34.4,0.4951954620648542
34.6,0.5885271152844852
34.8,0.6065850998818546
35.0,0.5298770855142273
35.2,0.5956177221194534
35.4,0.43619630174011964
35.6,0.46219574829446675
35.8,0.5464235497720115
36.0,0.6149047571276827
36.2,0.6643832788612705
36.4,0.6734107359091837
36.6,0.7053535170701356
36.8,0.797257969346518
37.0,0.6701628770908951
37.2,0.7446346103745154
37.4,0.6010757825448121
37.6,0.5674727085576905
37.8,0.5357343810592852
38.0,0.5716126983182072
38.2,0.5157793527108281
38.4,0.502240182197067
38.6,0.5113359077932519
38.8,0.5086654573340987
39.0,0.5405834916114614
39.2,0.6150751779243064
39.4,0.610703100966684
39.6,0.6441997322919565
39.8,0.5798785017332218
40.0,0.8189465076473648
40.2,0.9318702643427874
40.4,0.9890908992371891
40.6,0.8183880903931275
40.8,0.8637872749610583
41.0,1.0023311826836272
41.2,1.002177099755234
41.4,0.952721548425758
41.6,0.9037451193946986
41.8,0.8308065604388357
42.0,0.7792183435494915
42.2,0.871140711949062
42.4,0.9027055733482598
42.6,0.9767041041720625
42.8,0.9565750390288905
43.0,0.7405512330405969
43.2,0.7036898002984141
43.4,0.6519071342159065
43.6,0.7901534860637435
43.8,0.7991976661207937
44.0,0.6510156926493489
44.2,0.7153721361420807
44.4,0.7386752657910173
44.6,0.7309225424652219
44.8,0.7845964880051601
45.0,0.7644302246876595
45.2,0.7143528962525555
45.4,0.7909452697392602
45.6,0.7839605019661261
45.8,0.7897249205085636
46.0,0.8548176635452307
46.2,0.912794865583567
46.4,0.8522469842159873
46.6,0.909163718601666
46.8,0.7372848920718227
47.0,0.7704478608828279
47.2,0.8111650498974254
47.4,0.8449963866471382
47.6,0.8128837729643841
47.8,0.9092976750105588
48.0,0.7728264962297076
48.2,0.8180005574625214
48.4,0.8854753472910184
48.6,0.8739231991139491
48.8,0.833118484759729
49.0,0.8193018836990588
49.2,0.786810067884937
49.4,0.8153628737452042
49.6,0.7097709529666206
49.8,0.870725198565571
50.0,0.8028619580957368
50.2,0.8325618245494144
50.4,0.8192525264622892
50.6,0.8106143197634166
50.8,0.7064520491639482
51.0,0.8877168163451318
51.2,0.8747512092514983
51.4,0.8520024871557361
51.6,0.7110160788419948
51.8,0.844679910322124
52.0,0.7507883853106565
52.2,0.7342236964523021
52.4,0.8198278167701956
52.6,0.8754731501403132
52.8,0.9590358711471719
53.0,1.061670278595175
53.2,1.0259026075801594
53.4,0.999628852073043
53.6,1.0269213549816618
53.8,0.9402285977352671
54.0,0.8865778049959498
54.2,1.0168929587565392
54.4,1.0882104317018755
54.6,1.0780004835936148
54.8,1.1337370117785919
55.0,1.1164807609637155
55.2,1.1517585346920758
55.4,1.1392204602358753
55.6,1.0923048682075565
55.8,1.1040622587029636
56.0,1.1470710405416185
56.2,1.1182417307849182
56.4,1.1440356760728694
56.6,1.2428070054770388
56.8,1.198879782062746
57.0,1.071843061683156
57.2,1.2092703920438115
57.4,1.265230864104557
57.6,1.267688722274927
57.8,1.3983444833887895
58.0,1.4125438843179279
58.2,1.4158084137729268
58.4,1.44639954989112
58.6,1.4975813111220433
58.8,1.450184692566028
