cuedc2_mid,cuedc2_rif,cuedc2_dig,cuedc2_par,cuedc2_erg
43.677272646220985,43.61915932014853,43.53969252962615,43.70884139001983,43.49036581940996
42.75222151343729,44.19558644829902,43.407735708744774,43.63173665329618,43.427195226384725
42.764335644257095,44.62523836543616,43.46477753089517,43.32756760241865,43.669395067794376
43.06107865258612,44.89918800079146,43.15988889543707,43.5205664078715,43.4645427455023
42.50311694566654,44.89917000010286,42.60274171353514,42.92434610503557,43.50225291103318
42.26298434467296,44.855263941818,42.327985136170135,42.84380029450273,43.729793432707474
42.00350028569116,44.47008671275823,42.5279147594413,42.505739247725316,43.822053880065056
41.82920544422772,44.75185621087301,42.61695291502545,42.61559153227262,43.65702127053153
41.746383805529085,44.716075858693685,42.81305864548127,42.600280053162464,43.14259201651228
41.566815999526185,44.68994462225739,43.0179719386271,42.736778518248045,42.90873846082946
41.441182017695084,44.60461449450119,42.740355050314214,42.79335846886427,42.922359071631085
41.31980249431938,44.35267383489238,42.9727317661078,42.71795578525722,43.054419074959895
41.253941471235805,44.28325517957191,43.48970860070532,42.65729667640781,43.541505723344315
41.35455836020991,44.256018704732746,43.680670626978795,42.71856984684161,43.707512126457175
41.52996611726855,44.24448542400864,43.65496100155767,42.380739901068225,43.794492603825866
42.1786243139527,44.29626869491619,43.69961405653519,42.58499634227502,43.63978920675883
42.03943083799721,44.45957760413922,43.89095269329719,42.276187178409934,43.56500062963329
42.233878243021934,44.725233653355595,44.16955184182479,42.4309412777401,43.4292017470896
42.68941554627112,44.69665553099218,44.323442685128526,42.81873966473336,43.16620187765084
42.76163912119665,44.342514605117366,43.714635322369276,42.9698394025122,43.58674033509574
42.86491300763137,44.73795765842843,43.627893445444556,43.18648446055579,43.73953515692129
43.03848740291692,44.53507397600111,43.15666258565885,43.389895401843035,43.85918772216104
42.957811054392536,44.194509474804846,43.03526455117051,43.3055077563432,44.25362575165232
42.87758899904898,44.35954816430685,43.27533118039974,43.5118668560643,44.22540063707603
42.61878205487419,44.106250349137376,42.822083916043255,43.387886565406376,44.030766349839816
42.59979306473788,44.01906334521964,42.92650901143151,43.53699569451612,44.01946034785305
42.95065201067654,43.94452337272507,43.0431538352973,43.33545997916162,43.88772390107379
42.974510151448996,44.427670438726324,42.84658924090571,42.98024519672232,43.91330309484612
43.01803721579661,44.156000547223094,42.78050342814592,43.21314363074407,43.80120675196046
42.64657675814672,43.83911977060566,42.81073131029538,43.33870476917735,43.599773334950584
42.89913156285858,43.67508418668348,42.752967258186615,43.50908338110386,43.64202348558087
42.89227775365708,43.87660788233567,42.71908483082541,42.9880297375776,43.84552963835337
43.39214197861395,43.97261783270437,42.98834197798639,43.19454186348546,43.60600690656263
43.472072644183996,44.11658989018795,43.11526675974188,43.55286791465367,43.29272655534038
43.272384032709645,44.11273296855652,42.812190868102554,43.33015788100307,42.9440252009919
43.23395296480766,43.69772803705057,42.30223515226544,43.087838139029394,43.180389497593865
43.17183496735869,43.636890426546685,42.061220735274325,42.998667928369834,43.29687599623786
43.187049156963226,43.506305756386745,42.12704163905427,42.68147414214526,43.30958197639066
43.29905007313488,43.51081145696371,41.774856546458444,42.378133044303475,43.11141963105896
43.63968885494232,43.503126479605456,42.10557687633985,42.96847506496796,42.91025706496787
43.71090957424899,43.567590657216776,41.72187968168335,43.07065954339799,42.83495085524584
43.989717987215165,43.54023252811943,41.87078990150048,43.07413566701729,43.02427335825
43.89533340563624,43.47305515976147,41.59774662747223,43.07694877936763,43.19436617825609
44.04405403883219,43.88020843186804,41.66903137801885,42.75056405829607,43.17643912295784
44.19179108302229,44.15062836876949,41.25300815043972,42.90749264050525,43.437214274904015
44.10296732513495,43.902892254926584,41.28446267464873,43.18686040688119,43.366889886506065
43.99914921135926,43.695955342053395,41.54431683639108,42.968387389793484,42.91378228553212
44.08767678874202,43.412964517255,41.9835481687436,43.14416668816797,43.286477627910024
