cuedc2_rif,cuedc2_par,cuedc2_dig,cuedc2_mid,cuedc2_erg
1.1036058288923368e-06,1.560734330733544e-06,1.2743342447804616e-06,1.1036058288923368e-06,1.911501367170692e-06
1.6957474519205733,1.3900800747147775,2.0112314374989015,1.948114292264079,1.5443727360943857
2.583785771781629,1.8348891064842676,2.7303183455969546,2.135650459562406,2.266095118375636
3.198092812249374,2.3099553697550586,3.2267929493331207,2.250203297066984,2.951368350477022
3.7985049494016367,2.6612512553605194,3.4622724287792903,2.524409827395917,3.1456770172954864
3.8905174378703906,2.6805588983430053,4.209346447790083,3.043879646062132,3.349146196036915
3.7092440909661457,2.972738465047297,4.3122936039229565,3.251704581860235,3.8605576868609943
4.084109161620045,3.2116782966388056,4.409759423065947,3.657099915428974,4.22958188150306
4.218786823140874,3.417483336253892,4.633189821895097,3.782234198884439,4.337231005086539
4.318085579130175,3.6426293111454657,4.548384180096517,4.194831478386824,4.845379611222916
4.369036861559706,4.227634852870813,4.547989482226107,4.454452665092095,5.267849131788015
4.155976060353067,4.153873168198583,4.9293081139408494,4.73928684459078,5.323197800660208
4.525632445775147,3.9485887136883178,5.438033631263082,4.805326747469493,5.478669405471313
4.7870275540693665,3.785440087748894,5.857064335764926,4.985351633000653,5.784078502946864
5.174870358623499,3.9403547635116865,5.785454594589662,4.623034137311207,5.548066323631901
5.320973496167019,3.44869298626883,5.911282326327634,4.6669432533274255,5.709079839028735
5.519996953096888,3.2708138356994176,6.090299208487241,4.881838967651728,5.840956604076563
6.065599945178556,3.1810591610016132,6.56274369200178,4.643562431417085,6.398076084166974
6.07858237451657,3.3593373032468143,6.688641157368152,4.5279443303516205,6.39765960136862
5.803493601929027,3.756733369574662,6.7746948403668155,4.383438455588588,5.928783099432301
5.810252429486171,4.128047178851682,6.93178706725246,4.313502656432772,5.841770997129106
5.744497828899931,4.062699679594578,6.9568088436984885,4.521444383119944,5.737124311274008
5.881520140151664,4.40373453370291,7.447749992209717,4.610931628861157,5.985434477200773
6.075588231146292,4.6242569278798875,7.64047108840465,4.73820507493244,5.974788082625587
5.979607498455152,4.5740749174428625,7.765295686950619,5.317954236217744,6.1982378154210656
5.92898706621837,4.65729479617513,7.969920685403533,5.367994020432829,6.32988189722959
6.243208028273017,4.669751940216592,8.004903403847646,5.052989414471909,6.309543759141768
6.7204941680872485,5.155686097021694,7.8091129794588685,5.228196729751746,6.529401204020105
7.065411597759996,5.089113317527149,7.665846950128874,5.530097877567828,6.786204169498593
6.9125727100633405,5.1954275357238595,7.718542312825339,5.870977354136391,6.934000090937072
6.706854578443665,5.380275071165473,7.645593384223357,5.952297781910515,6.592669103165952
6.990754904383524,5.478571347983384,7.822233203180954,5.971561907604011,6.545027680328835
7.363346922417344,5.411326399778042,8.261048220370615,5.768832827007843,6.776853051570947
7.554376045611693,5.456394268450716,8.39463224243893,5.534891692044961,6.9416895412558715
7.676467909168291,5.4741452432116535,8.699481426966733,5.702955323390452,6.7133846370876995
7.6606930151722095,5.696951235760617,8.776132254136776,5.953283097608866,6.81063125257371
7.366534361801036,5.928536105316979,8.801952232891757,5.679960940600932,6.857060766942765
7.03276831824877,6.478676213512347,8.965708452611413,5.908145127734804,7.007713320289579
7.261814502428163,6.8053422471079426,9.028661831017052,6.156214034562212,7.243490727964121
