time_ps,time_ns,rmsd_memb_nm,rmsd_pmb_nm,dz_pmb_A,dz_lps_A,dz_eclip_A,n_contacts
0.0,0.0,5.691833869538572e-07,2.409415972899968e-08,20.774968904395493,17.659021578232895,-16.83523693638142,3
100.0,0.1,1.8852722643248536,0.17472927575582684,20.79488790257632,17.532097753657098,-16.576582770715888,11
200.0,0.2,1.8394565410090458,0.21876595505609425,19.380259627855608,17.745795791476567,-16.950175260142146,10
300.0,0.3,1.8338264068800192,0.20584473668939704,19.299327962714003,17.372053205100073,-16.42788102483351,8
400.0,0.4,1.8143931200646175,0.25424590047280515,19.44932699109667,17.44452333858723,-16.6035834525114,9
500.0,0.5,2.038418016794959,0.3043122364153512,19.60607849836761,17.12185182884612,-15.971900230972764,5
600.0,0.6,2.2410951927691762,0.4053182372814084,18.923464812570103,17.566396110967915,-16.696195561995367,3
700.0,0.7,2.32476223542836,0.3758766789799318,18.93253923835229,17.218332741313546,-16.185096466631634,5
800.0,0.8,2.339998007798478,0.45691777621623747,19.673944346859727,17.373967537781283,-16.388330151370923,3
900.0,0.9,2.375885491116871,0.4343819047118833,20.2531128308855,17.049401611652215,-16.004042198695316,4
1000.0,1.0,2.6519334379228594,0.4331125640852325,20.55531205011141,16.757596934144402,-15.617633174419424,8
1100.0,1.1,2.5410255261570165,0.37363221594096874,19.868506534981762,17.105667845958365,-16.107130658119885,8
1200.0,1.2,2.5056260900471847,0.42825671283094524,19.16796814370241,17.01978928410489,-16.02514301604745,6
1300.0,1.3,2.7410779643993823,0.40237847087283474,20.492566801496338,16.688093363458563,-15.2657282896064,4
1400.0,1.4,2.8071225793982655,0.44396386075978195,20.322937200310008,16.590882137419996,-15.280627610356689,6
1500.0,1.5,2.5513926239910174,0.43876089405796065,19.67527569081075,16.747615011203337,-15.555944290581337,8
1600.0,1.6,2.5119084819230895,0.45837571159375445,20.563670370206594,16.829266838695844,-15.703865362157941,5
1700.0,1.7,2.3868858253826795,0.42391280324805625,21.049793314389348,16.82687981417932,-15.748923417668848,6
1800.0,1.8,2.475621869549198,0.4037526932505073,20.500980013632315,16.751046038024413,-15.49705525089982,6
1900.0,1.9,2.5994664367949993,0.3947962232586906,21.520442784221046,16.620866487142365,-15.44328386571192,5
2000.0,2.0,2.55629478191677,0.3984446231531752,20.332200970601846,16.994185391308378,-15.988994240382098,4
2100.0,2.1,2.4823049004610795,0.49107880429173695,21.101728617778676,16.891823406341715,-15.921268863810297,8
2200.0,2.2,2.415731994775224,0.450295012710491,20.737843433784732,16.96675485947661,-16.0765219148756,10
2300.0,2.3,2.8093979083312943,0.4873917399221983,20.85223747423123,16.495222162557937,-15.20017286571742,10
2400.0,2.4,2.630760997177337,0.5140619458938671,21.64699347975143,16.52360979826439,-15.205359925507508,6
2500.0,2.5,2.7171438971127286,0.49613005253721765,21.792073473803498,16.667165699174916,-15.418398164669725,8
2600.0,2.6,2.956565087736048,0.523392336376422,21.85653241797104,15.998438316631947,-14.36913114361009,7
2700.0,2.7,2.9243229421385335,0.48598476500171267,21.013908458747295,15.93514344784002,-14.30822326792422,10
2800.0,2.8,3.224070949977393,0.49303447030154174,20.789621006539548,15.679798133239345,-13.965383549889879,10
2900.0,2.9,3.1144400784542206,0.5361456170977589,20.615505089359843,15.676670279412022,-13.91020352158769,8
3000.0,3.0,3.0407638863741653,0.5307422248230447,20.227692906021744,15.926709774890114,-14.381962752985402,11
3100.0,3.1,3.126591815006298,0.4729624111985832,20.548124158315574,15.798352425787556,-14.200351556441106,7
3200.0,3.2,3.1873804942120483,0.47928611704978197,21.147975053213486,15.778021069202211,-14.119456921673944,12
3300.0,3.3,3.104409304900267,0.48094463542948834,20.464902806488126,15.774629716958387,-14.101567769829416,9
3400.0,3.4,3.223847884884093,0.49460338352196703,20.70210273303404,15.792627828752856,-14.18927591647855,14
3500.0,3.5,3.1460325014948283,0.5185325313240704,19.526953195535114,16.07519836157607,-14.65008228321183,9
3600.0,3.6,3.0741699583111113,0.5371318141980493,18.97591708391063,15.996851024648961,-14.50872528990918,10
3700.0,3.7,3.050295346508752,0.5136692710412905,18.61139996161424,16.23685749448788,-14.816510529348506,11
3800.0,3.8,3.0717943081704635,0.5121712116212688,19.090008293008452,16.087309193545806,-14.633492271722275,12
3900.0,3.9,3.1079722425631724,0.49847125555384186,20.217545128841493,16.0354219638742,-14.489061799668093,9
4000.0,4.0,3.076223319390519,0.5103568831349067,19.54286682591126,16.616489259779698,-15.37743205180142,10
4100.0,4.1,3.072930230188745,0.5073213633016316,19.341510565407134,16.219984553808885,-14.66676546654962,10
4200.0,4.2,3.1584293351371544,0.5248649961250956,18.413195824349273,16.20666600798286,-14.708685667253064,9
4300.0,4.3,3.1190347765672013,0.5246976996697048,18.932281392636853,16.413870089341856,-14.992913502592131,11
4400.0,4.4,3.204723682534054,0.5355563742119874,19.41675870394991,16.24416502267391,-14.736287089881486,13
4500.0,4.5,3.2413776341882112,0.5076658661388939,20.05809701806966,16.000651473498294,-14.469352631901998,11
4600.0,4.6,3.343874252393433,0.48689295386495823,19.658922871534756,15.990901618837214,-14.463409751662397,11
4700.0,4.7,3.202386182670015,0.4707588285423646,20.627283871606153,16.21467050584114,-14.767273946623718,10
4800.0,4.8,3.279159782921757,0.45582169579442733,20.31973715348387,16.115107654728902,-14.647207939432775,10
4900.0,4.9,3.206156489729311,0.4749461898057744,19.71609576288958,16.450388083163375,-15.158937878385515,10
5000.0,5.0,3.303838684854347,0.5118341816161799,20.693693052945406,16.04369028561736,-14.40620445865882,12
5100.0,5.1,3.370958776958967,0.49171760254676683,20.65652972219293,15.82769202692009,-14.156526117397163,11
5200.0,5.2,3.4334523581689753,0.5074256510864757,20.633984329339597,15.666555835812119,-13.814216820487559,10
5300.0,5.3,3.28823992291737,0.4662944678493396,20.477776400343828,15.971927777409618,-14.372085626795254,12
5400.0,5.4,3.4054410697401587,0.4850563751022558,21.478495611535408,15.535077128414144,-13.687781116096673,12
5500.0,5.5,3.4301239274020197,0.4796338629300145,22.083480535119122,15.266611691289256,-13.229519400884087,11
5600.0,5.6,3.4675358294574794,0.44905321241928825,22.805145436876273,15.227010035351697,-13.17954784636818,12
5700.0,5.7,3.485563964044155,0.4446917909175731,22.89810157820186,15.07187845061,-12.874146094216655,10
5800.0,5.8,3.5025366112103775,0.5037582268818313,22.26918536474048,15.24056497800943,-13.22832512176467,11
5900.0,5.9,3.4363373611591754,0.47023199875972893,21.490049855751337,15.516758472969087,-13.59116537006149,10
6000.0,6.0,3.5408847230825797,0.4984412428674223,21.910308553354668,15.51270384183887,-13.54804157679169,14
6100.0,6.1,3.492730677681975,0.4853103030795073,22.845025917688787,15.532386537388348,-13.581530034784407,10
6200.0,6.2,3.5577165605979415,0.5044999892527525,22.414603688262417,15.327301762438566,-13.296679846253468,7
6300.0,6.3,3.561596610088492,0.4939224394488114,21.309832016443238,15.475234984263395,-13.491438906581365,11
6400.0,6.4,3.585804359118672,0.49978975101614376,21.97030855651083,15.112896133762376,-13.032166849631551,12
6500.0,6.5,3.5420519597680014,0.4962118340792675,22.361419303697247,15.398676055191487,-13.35378596158327,11
6600.0,6.6,3.6318740716083378,0.4873348374516867,23.362446510201508,14.840999714798215,-12.506307925536163,15
6700.0,6.7,3.614095938251867,0.45614560842106816,22.654870586305734,14.79083145456292,-12.472647414123301,16
6800.0,6.8,3.5801278048802936,0.4148915435986453,23.733451367218848,15.177407772415563,-13.009050158046634,4
6900.0,6.9,3.626651567318361,0.452989425854238,24.234337321852124,15.105680390062759,-12.848808989418615,7
7000.0,7.0,3.608877916940562,0.41954448355503027,23.08731619962124,14.938807042311083,-12.757345902595901,8
7100.0,7.1,3.557414274532526,0.43685857622429636,22.763214925715317,15.100730204938202,-13.012179355283521,8
7200.0,7.2,3.62327000394355,0.4103137387586148,22.532394609094595,15.133008411332938,-13.063426949236714,7
7300.0,7.3,3.84704830920008,0.4625555947175701,23.994198908589226,14.935424304345588,-12.732470752598815,8
7400.0,7.4,3.78783877193876,0.4559895791329024,23.902435597890644,14.764606743126464,-12.403714756010132,12
7500.0,7.5,3.755159688196784,0.4543475801916257,24.01833289830678,14.86722144277195,-12.564575425696546,8
7600.0,7.6,3.626277287039828,0.4215070293174281,23.480161184632706,15.22750864774018,-13.254143396204043,8
7700.0,7.7,3.737767894963698,0.465598847012358,24.57218611077181,14.566990754807676,-12.094663689715503,7
7800.0,7.8,3.680736459695943,0.46886512651058904,24.097299806022434,14.97563108107606,-12.732804419477233,6
7900.0,7.9,3.668530494856293,0.42551808854484463,23.305708589380146,15.379990362185978,-13.33649431762582,9
8000.0,8.0,3.676644161682251,0.44118624278560714,22.92614893177715,15.104573050753132,-12.9748814566412,7
8100.0,8.1,3.5948975012922206,0.49283053384596676,23.519440743402015,15.156520203836308,-12.880842669740474,6
8200.0,8.2,3.54397564061259,0.47014187758599474,23.56675180073063,14.971736678466058,-12.746868400002882,4
8300.0,8.3,3.5247264665529663,0.4782064490598965,23.684172475122395,15.344330613375007,-13.317622314781303,7
8400.0,8.4,3.524564766482173,0.4647004368554879,23.469984136331973,14.928747687721469,-12.736758153446104,7
8500.0,8.5,3.520841915923272,0.41146890438268774,24.36626372106261,15.159102173498411,-12.979644543567318,7
8600.0,8.6,3.4814167929659012,0.47639479332806084,23.69749375824165,14.961492165995125,-12.590744863544828,8
8700.0,8.7,3.473276318909433,0.43436323911719654,25.097631618499477,14.90884561105932,-12.482872300211099,4
8800.0,8.8,3.559067559292193,0.3908434609498152,26.099945275622716,15.01237971179755,-12.690620891577723,6
8900.0,8.9,3.545025328032608,0.4533159426454243,25.33407932973502,14.867872106469221,-12.513853180490827,4
9000.0,9.0,3.4505722194940653,0.42562744195363617,24.501003686374588,15.350568207323278,-13.246104440693713,3
9100.0,9.1,3.44403459354033,0.3549085771428702,23.851011778290015,15.209638362993843,-13.172313325226654,3
9200.0,9.2,3.5565814020670614,0.3752628315888874,24.753967816531897,15.16694921522722,-12.99539895743338,3
