Output #  1, Total Volume =  641.00, Total Energy per Vol, EPV =     -0.18091124
Output #  2, Total Volume =  566.00, Total Energy per Vol, EPV =     -0.17711782
Output #  3, Total Volume =  553.00, Total Energy per Vol, EPV =     -0.17080776
Output #  4, Total Volume =  672.00, Total Energy per Vol, EPV =     -0.17058446
Output #  5, Total Volume =  667.00, Total Energy per Vol, EPV =     -0.17038747
Output #  6, Total Volume =  714.00, Total Energy per Vol, EPV =     -0.17014176
Output #  7, Total Volume =  674.00, Total Energy per Vol, EPV =     -0.16981618
Output #  8, Total Volume =  695.00, Total Energy per Vol, EPV =     -0.16852741
Output #  9, Total Volume =  674.00, Total Energy per Vol, EPV =     -0.16661409
