Output #  1, Total Volume =  257.00, Total Energy per Vol, EPV =     -0.16949753
Output #  2, Total Volume =  269.00, Total Energy per Vol, EPV =     -0.15798268
Output #  3, Total Volume =  285.00, Total Energy per Vol, EPV =     -0.15722993
Output #  4, Total Volume =  268.00, Total Energy per Vol, EPV =     -0.15687461
Output #  5, Total Volume =  276.00, Total Energy per Vol, EPV =     -0.15684418
Output #  6, Total Volume =  270.00, Total Energy per Vol, EPV =     -0.15561467
Output #  7, Total Volume =  292.00, Total Energy per Vol, EPV =     -0.14951711
Output #  8, Total Volume =  300.00, Total Energy per Vol, EPV =     -0.14573727
Output #  9, Total Volume =  246.00, Total Energy per Vol, EPV =     -0.14262380
